x,y,z,t,C3,Amb_Temp
3.25,10,1.2,3600,7.8,-1.49
3.25,10,1.2,7200,8.19,-1.87
3.25,10,1.2,10800,8.07,-2.05
3.25,10,1.2,14400,7.9,-2.45
3.25,10,1.2,18000,8.16,-2.71
3.25,10,1.2,21600,8.15,-2.99
3.25,10,1.2,25200,8.06,-3.33
3.25,10,1.2,28800,7.87,-3.38
3.25,10,1.2,32400,8.42,-2.69
3.25,10,1.2,36000,11.97,-1.36
3.25,10,1.2,39600,22.04,0.81
3.25,10,1.2,43200,22.03,2.61
3.25,10,1.2,46800,21.94,4.48
3.25,10,1.2,50400,22.43,5.85
3.25,10,1.2,54000,22.3,6.81
3.25,10,1.2,57600,22.13,7.38
3.25,10,1.2,61200,22.2,7.04
3.25,10,1.2,64800,16.68,6.39
3.25,10,1.2,68400,12.62,4.6
3.25,10,1.2,72000,11.33,3.5
3.25,10,1.2,75600,10.34,2.8
3.25,10,1.2,79200,9.66,2.41
3.25,10,1.2,82800,9.1,1.69
3.25,10,1.2,86400,8.59,1.17
